Year,Practice,Percentage
1995-96,No cultivation,20.9
2000-01,No cultivation,37.8
2007-08,No cultivation,65.7
2009-10,No cultivation,75
2010-11,No cultivation,72.4
2011-12,No cultivation,73.6
1995-96,1–2 cultivations,46.6
2000-01,1–2 cultivations,43.4
2007-08,1–2 cultivations,29.5
2009-10,1–2 cultivations,21.1
2010-11,1–2 cultivations,22.7
2011-12,1–2 cultivations,21.4
1995-96,3+ cultivations,32.5
2000-01,3+ cultivations,18.8
2007-08,3+ cultivations,4.8
2009-10,3+ cultivations,3.9
2010-11,3+ cultivations,4.9
2011-12,3+ cultivations,5
